#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
1975;-3.5;89.3;56.3;0.855
591;4.4;95.0;60.5;0.837
704;5.2;92.0;59.4;0.837
5426;19.6;97.4;63.6;0.841
7374;12.5;85.0;56.6;0.858
856;-6.5;90.3;56.9;0.887
5480;7.3;84.0;55.6;0.874
691;4.0;86.3;55.2;0.859
5100;3.5;100.5;62.8;0.84
4336;1.3;86.7;54.0;0.885
662;5.0;89.9;57.2;0.858
5109;11.7;91.0;59.0;0.842
460;4.3;86.9;56.6;0.883
701;4.7;84.5;54.6;0.865
1503;13.9;83.6;55.7;0.853
4745;2.5;87.8;56.4;0.854
4911;12.0;87.9;58.3;0.881
2483;11.6;98.9;64.3;0.819
7370;-3.3;93.0;59.6;0.866
2812;10.2;84.9;55.0;0.892
2667;13.8;90.9;59.7;0.853
3028;12.2;87.3;57.1;0.857
430;13.3;84.9;55.5;0.864
1468;14.4;102.3;67.7;0.835
2485;20.4;87.4;57.7;0.869
3287;3.8;94.6;59.9;0.853
880;10.3;82.1;53.3;0.879
15444;12.3;54.5;40.6;0.728
4177;9.9;90.4;58.7;0.873
282;15.7;91.3;60.4;0.859
13674;14.2;93.6;63.4;0.863
2932;-0.3;85.5;54.4;0.883
4104;15.5;96.7;63.7;0.853
3761;14.1;84.7;55.6;0.89
4393;2.9;74.8;49.3;0.901
3660;16.1;94.5;63.8;0.832
963;14.5;88.4;58.1;0.848
342;6.2;84.6;55.2;0.868
7351;7.0;84.2;54.4;0.867
1420;-1.2;98.3;63.3;0.866
2115;-10.3;71.9;47.4;0.911
3811;16.4;86.8;57.0;0.864
1757;6.1;91.1;58.8;0.848
1550;-8.9;119.0;76.7;0.8
5705;8.6;92.0;57.7;0.864
1443;6.4;87.1;56.1;0.887
2638;11.2;95.8;63.0;0.853
4466;-0.2;87.1;55.3;0.857
2907;2.9;86.8;56.7;0.854
891;1.4;79.0;53.1;0.889
232;11.4;91.3;59.4;0.871
7368;7.5;86.9;57.5;0.868
4928;4.4;93.5;58.3;0.863
656;13.2;97.9;63.7;0.824
1346;7.9;111.2;73.1;0.796
3730;-15.0;123.5;80.5;0.782
3268;8.0;105.3;68.2;0.815
164;5.9;90.8;57.9;0.854
5404;-0.3;85.2;53.1;0.891
5839;9.2;87.1;56.4;0.852
5906;5.6;91.1;57.6;0.872
3126;7.7;83.4;54.8;0.875
3086;12.2;82.4;54.9;0.863
2601;15.2;101.5;68.3;0.833
953;-1.2;94.9;61.5;0.849
4271;-9.2;78.2;50.4;0.896
4887;5.0;95.1;62.4;0.862
1691;5.6;90.4;59.6;0.855
3513;7.9;91.1;60.0;0.854
3032;-3.2;73.8;48.3;0.899
2290;-3.5;94.4;59.0;0.872
5516;9.6;74.3;49.1;0.896
5546;13.3;89.2;58.6;0.858
1766;13.1;83.8;55.0;0.866
1078;10.5;87.5;57.1;0.863
2014;7.7;85.1;56.7;0.866
1684;-2.5;89.8;56.4;0.866
5792;-35.8;152.3;107.7;0.666
5142;1.3;87.5;55.4;0.853
3167;12.8;90.5;59.6;0.855
6163;8.5;81.8;53.1;0.869
3196;8.4;86.0;56.5;0.861
2171;13.4;91.3;60.7;0.855
7369;7.9;92.8;61.0;0.86
427;-5.2;85.9;55.1;0.875
5397;11.8;89.7;59.3;0.867
1048;-6.1;95.3;58.5;0.852
3366;8.0;88.5;58.0;0.881
2712;2.5;89.8;55.8;0.889
596;-10.5;75.3;49.6;0.899
7367;6.7;89.0;57.5;0.854
2559;0.7;92.2;59.9;0.874
15000;4.8;94.6;61.2;0.843
1639;14.4;89.2;59.4;0.863
4625;0.6;89.9;57.5;0.852
6197;6.4;92.4;60.2;0.851
5856;-2.0;89.8;55.0;0.882
2261;8.2;91.5;60.2;0.859
1605;11.5;83.9;54.6;0.866
