#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
240_S_ISMU;6.5;109.6;67.9;0.793
273_S_a;8.1;82.9;53.3;0.873
391_S_a;18.0;87.5;56.5;0.865
269_S_23t;5.4;85.5;55.1;0.867
249_S_a;0.1;85.1;53.3;0.868
283_S_a;5.5;83.1;53.1;0.875
240_S_ISNK;3.9;99.7;61.9;0.824
375_S_a;4.7;84.1;53.7;0.874
323_S_a;3.4;75.4;48.0;0.904
257_S_a;2.7;85.2;53.5;0.877
240_S_18Ct;4.2;81.1;51.9;0.881
277_S_a;-6.2;80.3;51.7;0.883
261_S_a;9.7;84.6;54.1;0.867
270_S_a;1.5;84.0;53.9;0.869
290_S_a;3.3;87.6;54.7;0.861
356_S_a;4.7;83.6;53.8;0.875
280_S_23t;4.1;85.5;54.7;0.857
310_S_a;-5.8;86.0;52.9;0.878
240_S_ISAD;-0.5;107.2;65.2;0.799
319_S_a;9.9;87.1;56.1;0.862
330_S_a;3.0;77.9;49.4;0.899
286_S_a;3.2;83.7;53.4;0.869
251_S_a;-4.2;74.6;48.2;0.901
260_S_a;6.0;84.7;53.7;0.868
348_S_a;4.5;82.2;52.9;0.88
275_S_a;6.0;87.9;56.0;0.858
380_S_22t;11.6;85.5;54.9;0.874
344_S_24t;7.1;83.0;54.0;0.875
267_S_a;-4.1;80.9;49.9;0.887
350_S_a;6.2;82.7;52.9;0.876
278_S_a;6.5;91.1;57.6;0.847
370_S_a;4.0;88.4;55.6;0.86
279_S_a;4.4;93.7;58.0;0.837
377_S_a;9.9;91.6;57.6;0.85
