#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
EIN;-20.2;117.5;72.7;0.809
STC;-13.1;97.7;64.9;0.884
SBO;18.3;96.7;61.7;0.886
BIE;20.0;106.0;62.8;0.852
THU;5.0;96.8;59.3;0.873
FRE;15.3;138.3;86.2;0.753
CHU;-1.1;116.3;76.0;0.837
ABO;-4.6;135.1;89.8;0.788
ILZ;-2.2;127.5;83.8;0.795
NAS;-25.4;150.6;98.7;0.713
BLA;36.0;181.3;125.7;0.646
ROB;30.7;152.3;107.8;0.748
DAV;-25.5;162.6;108.2;0.67
BER;-5.1;95.6;58.8;0.88
GRE;7.3;95.5;59.7;0.883
EVI;37.9;132.4;93.6;0.801
CDF;-5.0;123.6;77.4;0.787
GRO;52.1;174.3;119.1;0.664
TIT;-67.0;193.2;132.8;0.525
ENG;-0.1;160.6;109.0;0.685
LAT;15.4;159.0;108.9;0.701
DEM;-0.9;112.2;69.4;0.823
CIM;-9.4;108.6;69.1;0.857
BIZ;13.9;89.9;58.1;0.884
GRA;-10.0;99.1;62.0;0.875
GRH;-7.1;176.5;122.6;0.647
PMA;-52.7;174.2;119.5;0.6
RAG;9.8;106.5;69.2;0.852
LUZ;5.5;102.2;62.2;0.855
MUB;-2.0;91.6;58.4;0.893
COM;47.4;138.0;93.7;0.775
PAY;1.8;85.2;53.0;0.905
CEV;80.4;168.3;117.1;0.665
GUE;-63.2;181.6;121.9;0.592
ANT;-20.9;175.6;118.7;0.649
UEB;-15.5;103.8;68.7;0.866
SHA;19.4;91.8;58.9;0.882
BRL;0.8;122.7;75.9;0.786
BUS;6.1;91.2;57.7;0.89
CMA;-6.5;155.9;100.7;0.664
MTR;-5.4;137.1;89.2;0.762
CHD;-13.0;117.7;74.7;0.835
SAM;-13.8;154.3;105.4;0.721
COV;-55.5;178.3;125.8;0.587
GIH;12.5;117.3;77.2;0.817
HAI;-3.3;91.6;58.3;0.887
SIA;-35.6;168.6;114.5;0.669
LUG;3.1;87.2;52.8;0.904
SBE;14.3;140.6;98.1;0.769
HOE;-6.7;102.8;66.8;0.861
OTL;-2.1;86.3;52.0;0.91
ORO;-8.0;103.5;62.6;0.863
KOP;-0.9;89.8;55.3;0.893
SMM;2.0;169.3;116.6;0.672
BOL;6.2;129.8;84.3;0.795
RUE;-8.6;99.6;63.9;0.871
